Universidade Federal Rural do Río de Janeiro (UFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro (URFRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro â€“ UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro ââ‚¬â€œ UFRRJ|UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO|Brazil
Universidade Federal Rural do Rio de Janeiro e Instituto de Macromoléculas Prof. Eloisa Mano, Universidade Federal do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro -UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro, (UFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro,Departamento de Parasitologia Animal, Instituto de Biologia|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro. Seropédica (Brasil)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de JaneiroUniversidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal Rural do Rio Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio Janeiro (UFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio sde Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio Universidade Federal de Minas GeraisJaneiro|Universidade Federal de Minas Gerais|Brazil
Universidade Federal Rural do Semi- Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi Ãrido (UFERSA)|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi Ãrido/ UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi- Árido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi Árido (UFERSA)|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi Árido/ UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
"Universidade Federal Rural do Semi&#8209;árido"|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Ãrido - UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Ãrido (UFERSA)|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Ãrido, UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Ãrido/UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-arido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semiárido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Arido - UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Árido - UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semiárido (UFERSA)|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Árido (UFERSA)|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-árido, UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semiárido/UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Semi-Árido/UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Smi-Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural do Smi-Árido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural doRio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural Semi-Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Rural Semi-Árido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal Santa Maria (UFSM)|Universidade Federal de Santa Maria|Brazil
Universidade Federal Uberlândia|Universidade Federal de Uberlândia|Brazil
Universidade Federal Universidade Federal do Pará Pará|Universidade Federal do Pará|Brazil
Universidade Federal University do Pará|Universidade Federal do Pará|Brazil
Universidade Federal Vales Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal Viçosa|Universidade Federal de Viçosa |Brazil
Universidade Federal, de Santa Maria|Universidade Federal de Santa Maria|Brazil
Universidade Federal, do Paraná|Universidade Federal do Paraná|Brazil
Universidade Federal. do Ceará|Universidade Federal do Ceará|Brazil
Universidade Federalde Santa Maria (UFSM)|Universidade Federal de Santa Maria|Brazil
Universidade Federalde Sergipe|Universidade Federal de Sergipe|Brazil
Universidade Federaldo Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federaldo Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade federale de Sergipe|Universidade Federal de Sergipe|Brazil
Universidade Federale do Piauí|Universidade Federal do Piauí|Brazil
Universidade Federalo do Paraná|Universidade Federal do Paraná|Brazil
Universidade Federla do Paraná|Universidade Federal do Paraná|Brazil
Universidade Federral de Pernambuco|Universidade Federal de Pernambuco|Brazil
Universidade Fedral de Pernambuco|Universidade Federal de Pernambuco|Brazil
Universidade Fedral de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
Universidade Fedral de São Paulo|Universidade Federal de São Paulo|Brazil
Universidade Fedral do Paraná|Universidade Federal do Paraná|Brazil
Universidade Fedral do Rural Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Fedral Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Fedrel do Paraná|Universidade Federal do Paraná|Brazil
Universidade Feral do Paraná|Universidade Federal do Paraná|Brazil
Universidade Ferderal de São Paulo|Universidade Federal de São Paulo|Brazil
Universidade Ferderal do Paraná|Universidade Federal do Paraná|Brazil
Universidade Ferderal Fluminense|Universidade Federal Fluminense|Brazil
Universidade Ferderal Rural de Pernanbuco|Universidade Federal Rural de Pernambuco|Brazil
Universidade Ferederal do Ceará|Universidade Federal do Ceará|Brazil
Universidade Filadélfia de Londrina|Centro Universitário Filadélfia|Brazil
Universidade Florestal de Santa Maria (UFSM)|Universidade Federal de Santa Maria|Brazil
Universidade Fluminense|Universidade Federal Fluminense|Brazil
Universidade Fundação Oswaldo Cruz|Fundação Oswaldo Cruz|Brazil
Universidade General de Santa Catarina|Universidade Federal de Santa Catarina|Brazil
Universidade Javeriana|Pontificia Universidad Javeriana|Colombia
Universidade Jose Eduardo dos Santos|Universidade José Eduardo dos Santos|Brazil
Universidade José Eduardo dos Santos|Universidade José Eduardo dos Santos|Brazil
Universidade Lusíada de Santos|Centro Universitário Lusíada|Brazil
Universidade Lusofona de Humanidades e Tecnologias|Universidade Lusófona de Humanidades e Tecnologias|Brazil
Universidade Lusófona de Humanidades e Tecnologias|Universidade Lusófona de Humanidades e Tecnologias|Brazil
Universidade Mackenzie (NEPEI)|Universidade Presbiteriana Mackenzie|Brazil
Universidade Mackenzie em São Paulo|Universidade Presbiteriana Mackenzie|Brazil
Universidade Maringá|Universidade Estadual de Maringá|Brazil
Universidade Médica de Graz|Medizinische Universität Wien|Austria
Universidade Metodista de Angola|Universidade Metodista de Angola|Angola
Universidade Metodista de Sao Paulo|Universidade Metodista de São Paulo|Brazil
Universidade Metodista de São Paulo - UMESP|Universidade Metodista de São Paulo|Brazil
Universidade Metodista de São Paulo (UMESP)|Universidade Metodista de São Paulo|Brazil
Universidade Metodista de São Paulo Mandrágora|Universidade Metodista de São Paulo|Brazil
Universidade Metodista do Estado de São Paulo|Universidade Metodista de São Paulo|Brazil
Universidade Metropolitana de Santos|Universidade Metropolitana de Santos|Brazil
Universidade Metropolitana de Santos - UNIMES|Universidade Metropolitana de Santos|Brazil
Universidade Metropolitana de Santos (UNIMES)|Universidade Metropolitana de Santos|Brazil
Universidade Mogi das Cruzes / Pontifícia Universidade Católica de Campinas|Universidade de Mogi das Cruzes|Brazil
Universidade Nacional Autônoma do México - UNAM|Universidad Nacional Autónoma de México|Mexico
Universidade Nacional de Asunción|Universidad Nacional de Asunción|Paraguay
Universidade Nihon|Nihon University|Japan
Universidade Norueguesa de Ciência e Tecnologia|Norges Teknisk-naturvitenskapelige Universitet|Norway
Universidade Nova de Lisboa|Universidade Nova de Lisboa|Portugal
Universidade Nova de Lisboa (UNL)|Universidade Nova de Lisboa|Portugal
Universidade Nova de Lisboa, Lisboa|Universidade Nova de Lisboa|Portugal
Universidade Nova Lisboa|Universidade Nova de Lisboa|Portugal
Universidade Nove de Julho|Universidade Nove de Julho|Brazil
Universidade Nove de Julho - UNINOVE|Universidade Nove de Julho|Brazil
Universidade Nove de Julho (JPJr, LCNO, EAFB)|Universidade Nove de Julho|Brazil
Universidade Nove de Julho (UNINOVE)|Universidade Nove de Julho|Brazil
Universidade Nove de Julho de São Paulo|Universidade Nove de Julho|Brazil
Universidade Oeste de Santa Catarina|Universidade do Oeste de Santa Catarina|Brazil
Universidade of São Paulo|Universidade de São Paulo|Brazil
Universidade Óscar Ribas|Universidade Óscar Ribas|Angola
Universidade P. Mackenzie|Universidade Presbiteriana Mackenzie|Brazil
Universidade para o Desenvolvimento de Santa Catarina|undefined|Brazil
Universidade para o Desenvolvimento do Estado de Santa Catarina|Universidade do Estado de Santa Catarina |Brazil
Universidade para o Desenvolvimento do Univerdidade Estadual Paulista|Universidade Estadual Paulista|Brazil
Universidade Paris 8|Université Paris 8|France
Universidade Passo Fundo|Universidade de Passo Fundo|Brazil
Universidade Paulista|Universidade Paulista|Brazil
Universidade Paulista - UNIP|Universidade Paulista|Brazil
Universidade Paulista (Unip)|Universidade Paulista|Brazil
Universidade Paulista Campinas|Univerisidade Paulista|Brazil
Universidade Paulista Julio de Mesquita Filho (Unesp)|Universidade Estadual Paulista|Brazil
Universidade Católica do Porto|Universidade Católica Portuguesa|Portugal
Universidade Pontifícia Lateranense de Roma|Pontificia Università Lateranense|Italy
Universidade Pontifícia Salesiana|Università Pontificia Salesiana|Italy
Universidade Porto|Universidade do Porto|Portugal
Universidade Positive|Universidade Positivo|Brazil
Universidade Positivo|Universidade Positivo|Brazil
Universidade Positivo - UP|Universidade Positivo|Brazil
Universidade Positivo (UP)|Universidade Positivo|Brazil
Universidade Positivo Curitiba|Universidade Positivo|Brazil
Universidade Presbiteriana Mackenzie|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presbiteriana Mackenzie - UPM|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presbiteriana Mackenzie (UPM)|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presbiteriana Mackenzie de São Paulo|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presbiteriana Mackenzie,|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presbiteriana Mackenzie, São Paulo|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presbiteriana Makenzie|Universidade Presbiteriana Mackenzie|Brazil
Universidade Presidente Antônio Carlos|Universidade Presidente Antônio Carlos|Brazil
Universidade Radboud Nijmegen|Radboud University|Netherlands
Universidade Regional de Blumenal|Universidade Regional de Blumenal|Brazil
Universidade Regional de Blumenau (Furb|Universidade Regional de Blumenal|Brazil
Universidade Regional de Blumenau (Furb)|Universidade Regional de Blumenal|Brazil
Universidade Regional de Blumenau (URB)|Universidade Regional de Blumenal|Brazil
Universidade Regional de Blunenau Furbi|Universidade Regional de Blumenal|Brazil
Universidade Regional do Alto Uruguai|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional do Alto Uruguai e das Missões|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional do Alto Uruguai e das Missões-FW|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional do Carir|Universidade Regional do Cariri|Brazil
Universidade Regional do Cariri|Universidade Regional do Cariri|Brazil
Universidade Regional do Cariri (URCA)|Universidade Regional do Cariri|Brazil
Universidade Regional do Cariri URCA|Universidade Regional do Cariri|Brazil
Universidade Regional do CaririGrande|Universidade Regional do Cariri|Brazil
Universidade Regional do Cariri-URCA|Universidade Regional do Cariri|Brazil
Universidade Regional do Estado do Rio Grande do Sul|Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Brazil
Universidade Regional do Noroeste do Estado do Rio Grande|Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Brazil
Universidade Regional do Noroeste do Estado do Rio Grande do Su|Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Brazil
Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Brazil
Universidade Regional do Noroeste do Estado do Rio Grande do Sul (UNIJUl)|Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Brazil
Universidade Regional do Noroeste do Estado do RS|Universidade Regional do Noroeste do Estado do Rio Grande do Sul|Brazil
Universidade Regional do Rio Grande do Norte|Universidade Regional do Rio Grande do Norte|Brazil
Universidade Regional do Rio Grande do Norte - URRN|Universidade Regional do Rio Grande do Norte|Brazil
Universidade Regional e Integrada do Alto Uruguai|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada (URI)|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada das Missões e Alto Uruguai|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada do Alto do Uruguai e das Missões|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada do Alto Urugai e das Missoes|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada do Alto Uruguai|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada do Alto Uruguai e da Missões|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada do Alto Uruguai e das Missões - URI|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
Universidade Regional Integrada do Alto Uruguai e das Missões (URI)|Universidade Regional Integrada do Alto do Uruguai e das Missões|Brazil
